PSA_ID,Domain,Sub_Category,English,Notice_Style,Source,Date,Metadata
1,Governance,Public Service Delivery,"60 CONTENTS GAZETTE NOTICES GAZETTE NOTICES—(Contd.) PAGE The State Corporations Act—Re-Appointment, etc.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
2,Governance,Public Service Delivery,340–346 The National Authority for the Campaign Against Alcohol and Drug Abuse Act—Appointment ...................................,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
3,Governance,Public Service Delivery,346–347 The Military Veterans Act—Appointment .............................,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
4,Governance,Public Service Delivery,306 The Teachers Service Commission Act—Removal from The Kenya Deposit Insurance Act—Re-Appointment ..........,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
5,Governance,Public Service Delivery,"347–348 The Nairobi International Financial Centre Act— The Insolvency Act—Appointment, etc.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
6,Governance,Public Service Delivery,307 The Co-operative Societies Act—Appointment of The Public Finance Management Act—Appointment ..........,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
7,Governance,Public Service Delivery,307–308 The Mental Health Act—Appointment .................................,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
8,Governance,Devolution and Local Governance,"310–326, 359 National Assembly Bills, 2025 The Land Act—Reservation of Public Land to County Government of Nyandarua as Registered Trustees of PAGE Munyugu Dispensary ............................................................",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
9,Governance,Public Service Delivery,"327–336 The National Government Constituencies Fund Bill, The Oaths and Statutory Declarations Act—Appointment 2025 .....................................................................",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
10,Governance,Public Service Delivery,on all weekdays other than IN Gazette Notice No.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
