PSA_Id,Domain,Class,English,Kiswahili,Ekegusii,Dholuo,Somali,Source,Date,Metadata
1,Agriculture,PSA,State Department for Livestock Development.,,,,,https://kilimo.go.ke/state-department-for-livestock-development/,2026-07-14,scraped:MoALD News
2,Agriculture,PSA,Livestock Sub-Sector Policies.,,,,,https://kilimo.go.ke/livestock-2/,2026-07-14,scraped:MoALD News
3,Agriculture,PSA,Tenders for State Department for Agriculture.,,,,,https://kilimo.go.ke/tenders-for-state-department-for-agriculture/,2026-07-14,scraped:MoALD News
4,Agriculture,PSA,Tenders for State Department for Livestock Development.,,,,,https://kilimo.go.ke/tenders-for-state-department-for-livestock-development/,2026-07-14,scraped:MoALD News
5,Agriculture,PSA,"CS Kagwe Backs Sugar Factories’ Shift to Power and Ethanol ProductionView moreJune 19, 2026.",,,,,https://kilimo.go.ke/cs-kagwe-backs-sugar-factories-shift-to-power-and-ethanol-production/,2026-07-14,scraped:MoALD News
6,Agriculture,PSA,"CS Kagwe Opens 12th Agritec Africa Conference and ExhibitionView moreJune 18, 2026.",,,,,https://kilimo.go.ke/cs-kagwe-opens-12th-agritec-africa-conference-and-exhibition/,2026-07-14,scraped:MoALD News
7,Agriculture,PSA,"PS Agriculture Attends Reading of the 2026/2027 Budget StatementView moreJune 11, 2026.",,,,,https://kilimo.go.ke/ps-agriculture-attends-reading-of-the-2026-2027-budget-statement/,2026-07-14,scraped:MoALD News
8,Agriculture,PSA,"CS Kagwe Calls For Global Action On Hazardous Agrochemicals As Kenya Hosts World Farmers’ Organisation General AssemblyView moreJune 8, 2026.",,,,,https://kilimo.go.ke/cs-kagwe-calls-for-global-action-on-hazardous-agrochemicals-as-kenya-hosts-world-farmers-organisation-general-assembly/,2026-07-14,scraped:MoALD News
9,Agriculture,PSA,"Trucks Ferrying Top-Dressing Fertilizer Have Begun Arriving At The Eldoret Depot Of The National Cereals And Produce Board.View moreJune 5, 2026.",,,,,https://kilimo.go.ke/trucks-ferrying-top-dressing-fertilizer-have-begun-arriving-at-the-eldoret-depot-of-the-national-cereals-and-produce-boa/,2026-07-14,scraped:MoALD News
10,Agriculture,PSA,"H.E. President William Samoei Ruto Launches Ksh. 5B Livestock Investment Drive in WajirView moreJune 1, 2026.",,,,,https://kilimo.go.ke/president-ruto-launches-ksh-5b-livestock-investment-drive-in-wajir/,2026-07-14,scraped:MoALD News
11,Agriculture,PSA,"Kenya Deepens Agricultural Cooperation Amid Push To Remove Trade BarriersView moreMay 30, 2026.",,,,,https://kilimo.go.ke/kenya-deepens-agricultural-cooperation-amid-push-to-remove-trade-barriers/,2026-07-14,scraped:MoALD News
12,Agriculture,PSA,"Kenya Turns To Sugarcane Ethanol To Lower Fuel Prices, Expand Sugar SectorView moreMay 27, 2026.",,,,,https://kilimo.go.ke/kenya-turns-to-sugarcane-ethanol-to-lower-fuel-prices-expand-sugar-sector/,2026-07-14,scraped:MoALD News
13,Agriculture,PSA,"Government, IFAD, and Counties Unite in Ksh. 34.4 Billion Programme to Advance Climate Resilience, Food Security, and Sustainable LivelihoodsView moreMay 15, 2026.",,,,,https://kilimo.go.ke/government-ifad-and-counties-unite-in-ksh-34-4-billion-programme-to-advance-climate-resilience-food-security-and-sustainable-livelihoods/,2026-07-14,scraped:MoALD News
14,Agriculture,PSA,"PS Agriculture Leads Curtain Raiser for 12th Agritec Africa Conference Ahead of KICC SummitView moreMay 5, 2026.",,,,,https://kilimo.go.ke/ps-agriculture-leads-curtain-raiser-for-12th-agritec-africa-conference-ahead-of-kicc-summit/,2026-07-14,scraped:MoALD News
15,Agriculture,PSA,"Kenya to Host 2026 World Farmers’ Organisation Annual MeetingView moreFebruary 17, 2026.",,,,,https://kilimo.go.ke/kenya-to-host-2026-world-farmers-organisation-annual-meeting/,2026-07-14,scraped:MoALD News
16,Agriculture,PSA,"PS for Agriculture Dr. Kipronoh Ronoh Paul, CBS, Officially Opens 4th National Kalro Open Research Week and 20th Annual Ruiru Coffee FairView moreFebruary 12, 2026.",,,,,https://kilimo.go.ke/ps-for-agriculture-dr-kipronoh-ronoh-paul-cbs-officially-opens-4th-national-kalro-open-research-week-and-20th-annual-ruiru-coffee-fair/,2026-07-14,scraped:MoALD News
17,Agriculture,PSA,"Strengthening Kenya–Israel Agricultural Partnership for Food Security and GrowthView moreFebruary 10, 2026.",,,,,https://kilimo.go.ke/strengthening-kenya-israel-agricultural-partnership-for-food-security-and-growth/,2026-07-14,scraped:MoALD News
18,Agriculture,PSA,"CS Kagwe Meets Cereal Millers Association to Strengthen Food SecurityView moreSeptember 17, 2025.",,,,,https://kilimo.go.ke/cs-kagwe-meets-cereal-millers-association-to-strengthen-food-security/,2026-07-14,scraped:MoALD News
19,Agriculture,PSA,"Strengthening Kenya’s Tea Sector through Inclusive Budgeting and ResearchView moreSeptember 16, 2025.",,,,,https://kilimo.go.ke/strengthening-kenyas-tea-sector-through-inclusive-budgeting-and-research/,2026-07-14,scraped:MoALD News
20,Agriculture,PSA,"Nationwide Farmer Registration Exercise Kicks OffView moreAugust 27, 2025.",,,,,https://kilimo.go.ke/nationwide-farmer-registration-exercise-kicks-off/,2026-07-14,scraped:MoALD News
21,Agriculture,PSA,"Garissa County Agricultural Exhibition Marks Milestone in Youth-Led AgribusinessView moreAugust 26, 2025.",,,,,https://kilimo.go.ke/garissa-county-agricultural-exhibition-marks-milestone-in-youth-led-agribusiness/,2026-07-14,scraped:MoALD News
22,Agriculture,PSA,"PS Agriculture and CS Water Commission Bulla Cadey Irrigation Scheme in GarissaView moreAugust 26, 2025.",,,,,https://kilimo.go.ke/ps-agriculture-and-cs-water-commission-bulla-cadey-irrigation-scheme-in-garissa/,2026-07-14,scraped:MoALD News
23,Agriculture,PSA,"Harvesting Innovation: Kenya–China Collaboration Unlocks New Frontiers in Agricultural TransformationView moreJuly 4, 2025.",,,,,https://kilimo.go.ke/harvesting-innovation-kenya-china-collaboration-unlocks-new-frontiers-in-agricultural-transformation/,2026-07-14,scraped:MoALD News
24,Agriculture,PSA,"Rapid Results Initiative Launch: Driving Efficiency in Agricultural State AgenciesView moreJuly 3, 2025.",,,,,https://kilimo.go.ke/rapid-results-initiative-launch-driving-efficiency-in-agricultural-state-agencies/,2026-07-14,scraped:MoALD News
25,Agriculture,PSA,"Advancing Food Security Through Agricultural Innovation and Youth EmpowermentView moreJune 27, 2025.",,,,,https://kilimo.go.ke/advancing-food-security-through-agricultural-innovation-and-youth-empowerment/,2026-07-14,scraped:MoALD News
26,Agriculture,PSA,"Strengthening Rural Resilience Through Integrated Natural Resource ManagementView moreJune 23, 2025.",,,,,https://kilimo.go.ke/strengthening-rural-resilience-through-integrated-natural-resource-management/,2026-07-14,scraped:MoALD News
27,Agriculture,PSA,"High Court Dismisses Wamunyinyi’s Petition Against Nzoia Sugar Lease, Upholds West Kenya Sugar’s Ksh 5.7 Billion InvestmentView moreJune 20, 2025.",,,,,https://kilimo.go.ke/rulling/,2026-07-14,scraped:MoALD News
28,Agriculture,PSA,"Harnessing Technology for Agricultural Transformation and Food SecurityView moreJune 11, 2025.",,,,,https://kilimo.go.ke/harnessing-technology-for-agricultural-transformation-and-food-security/,2026-07-14,scraped:MoALD News
29,Agriculture,PSA,"Transforming Agriculture for Economic Empowerment and Food SecurityView moreMay 14, 2025.",,,,,https://kilimo.go.ke/transforming-agriculture-for-economic-empowerment-and-food-security/,2026-07-14,scraped:MoALD News
30,Agriculture,PSA,"No Sugar Factory Sold, Only Leased – Agriculture & Livestock Development CS Tells Parliament.View moreMay 13, 2025.",,,,,https://kilimo.go.ke/no-sugar-factory-sold-only-leased-agriculture-livestock-development-cs-tells-parliament/,2026-07-14,scraped:MoALD News
31,Agriculture,PSA,"Kenya Partners with Pula Advisors to Boost Climate Resilience for Smallholder Farmers Through Innovative Insurance ProgramView moreMay 9, 2025.",,,,,https://kilimo.go.ke/kenya-partners-with-pula-advisors-to-boost-climate-resilience-for-smallholder-farmers-through-innovative-insurance-program/,2026-07-14,scraped:MoALD News
32,Agriculture,PSA,"CS Mutahi Kagwe Briefs Rt. Hon. Raila Odinga on Agricultural Reforms, Sugar Sector Revitalization Under BETA AgendaView moreMay 8, 2025. Later this afternoon, the Cabinet Secretary for Agriculture and Livestock Development, Sen. Mutahi Kagwe, paid a courtesy call to Rt. Hon. Raila Odinga, Kenya’s Former Prime Minister. During the meeting, CS Kagwe briefed the Rt. Hon. Odinga on key developments and emerging opportunities in the agriculture sector, with a special focus on transformative initiatives under the Bottom-Up Economic Transformation Agenda (BETA). Discussions also centered around the strategic leasing of sugar mills—an effort aimed at revitalizing the sugar industry and ensuring long-term sustainability for farmers and stakeholders. The Rt. Hon. Odinga expressed keen interest and support for these reforms, recognizing their potential to spur rural economic growth and food security.",,,,,https://kilimo.go.ke/cs-mutahi-kagwe-briefs-rt-hon-raila-odinga-on-agricultural-reforms-sugar-sector-revitalization-under-beta-agenda/,2026-07-14,scraped:MoALD News
33,Agriculture,PSA,"CS Sen Mutahi Kagwe, Kilimo Trust CEO Dr. Birungi Korutaro Forge Partnership to Tackle Climate Challenges in East African AgricultureView moreMay 8, 2025.",,,,,https://kilimo.go.ke/cs-sen-mutahi-kagwe-kilimo-trust-ceo-dr-birungi-korutaro-forge-partnership-to-tackle-climate-challenges-in-east-african-agriculture/,2026-07-14,scraped:MoALD News
34,Agriculture,PSA,"Government Waives Packaging Taxes to Boost Tea Sector, CS Mutahi Kagwe Reaffirms Support for FarmersView moreMay 6, 2025.",,,,,https://kilimo.go.ke/government-waives-packaging-taxes-to-boost-tea-sector-cs-mutahi-kagwe-reaffirms-support-for-farmers/,2026-07-14,scraped:MoALD News
35,Agriculture,PSA,"Strengthening Livestock Value Chains: KeLCoP Mid-Term Review LaunchedView moreMay 5, 2025.",,,,,https://kilimo.go.ke/strengthening-livestock-value-chains-kelcop-mid-term-review-launched/,2026-07-14,scraped:MoALD News
36,Agriculture,PSA,"CS Kagwe Champions Fair Trade for Miraa and Macadamia FarmersView moreApril 13, 2025.",,,,,https://kilimo.go.ke/cs-kagwe-champions-fair-trade-for-miraa-and-macadamia-farmers/,2026-07-14,scraped:MoALD News
37,Agriculture,PSA,"Roundtable Discussion with Digital Agriculture Experts in KenyaView moreApril 11, 2025.",,,,,https://kilimo.go.ke/roundtable-discussion-with-digital-agriculture-experts-in-kenya/,2026-07-14,scraped:MoALD News
38,Agriculture,PSA,"World Bank Pays Courtesy Call to Cabinet Secretary Ministry of Agriculture to Advance Digital Agriculture RoadmapView moreApril 9, 2025.",,,,,https://kilimo.go.ke/world-bank-pays-courtesy-call-to-cabinet-secretary-ministry-of-agriculture-to-advance-digital-agriculture-roadmap/,2026-07-14,scraped:MoALD News
39,Agriculture,PSA,"PS for Agriculture, Dr. Ronoh, Hosts World Bank Group for Talks on Kenya’s Digital Agriculture RoadmapView moreApril 8, 2025.",,,,,https://kilimo.go.ke/ps-for-agriculture-dr-ronoh-hosts-world-bank-group-for-talks-on-kenyas-digital-agriculture-roadmap/,2026-07-14,scraped:MoALD News
