"PSA_Id","Domain","Class","English","Kiswahili","Ekegusii","Dholuo","Somali","Source","Date","Metadata","English_original"
"1","Agriculture","PSA","Farmers are urged to prioritize safe agrochemical usage as Kenya hosts the World Farmers' Organisation General Assembly.","","","","","https://kilimo.go.ke/cs-kagwe-calls-for-global-action-on-hazardous-agrochemicals-as-kenya-hosts-world-farmers-organisation-general-assembly/","2026-07-14","scraped:MoALD News","CS Kagwe Calls For Global Action On Hazardous Agrochemicals As Kenya Hosts World Farmers' Organisation General AssemblyView moreJune 8, 2026."
"2","Agriculture","PSA","Trucks ferrying top-dressing fertilizer are now arriving at the Eldoret Depot of the National Cereals and Produce Board. Farmers are encouraged to collect their supplies.","","","","","https://kilimo.go.ke/trucks-ferrying-top-dressing-fertilizer-have-begun-arriving-at-the-eldoret-depot-of-the-national-cereals-and-produce-boa/","2026-07-14","scraped:MoALD News","Trucks Ferrying Top-Dressing Fertilizer Have Begun Arriving At The Eldoret Depot Of The National Cereals And Produce Board.View moreJune 5, 2026."
"3","Agriculture","PSA","Farmers in Wajir are invited to participate in the Ksh. 5 billion Livestock Investment Drive launched by President Ruto.","","","","","https://kilimo.go.ke/president-ruto-launches-ksh-5b-livestock-investment-drive-in-wajir/","2026-07-14","scraped:MoALD News","H.E. President William Samoei Ruto Launches Ksh. 5B Livestock Investment Drive in WajirView moreJune 1, 2026."
"4","Agriculture","PSA","Farmers are encouraged to participate in the sugarcane ethanol initiative to help lower fuel prices and boost the sugar sector.","","","","","https://kilimo.go.ke/kenya-turns-to-sugarcane-ethanol-to-lower-fuel-prices-expand-sugar-sector/","2026-07-14","scraped:MoALD News","Kenya Turns To Sugarcane Ethanol To Lower Fuel Prices, Expand Sugar SectorView moreMay 27, 2026."
"5","Agriculture","PSA","A Ksh. 34.4 billion program has been launched to enhance climate resilience, food security, and sustainable livelihoods. Stakeholders in agriculture are encouraged to participate.","","","","","https://kilimo.go.ke/government-ifad-and-counties-unite-in-ksh-34-4-billion-programme-to-advance-climate-resilience-food-security-and-sustainable-livelihoods/","2026-07-14","scraped:MoALD News","Government, IFAD, and Counties Unite in Ksh. 34.4 Billion Programme to Advance Climate Resilience, Food Security, and Sustainable LivelihoodsView moreMay 15, 2026."
"6","Agriculture","PSA","The 12th Agritec Africa Conference will be held at KICC. Farmers and agribusiness stakeholders are encouraged to participate.","","","","","https://kilimo.go.ke/ps-agriculture-leads-curtain-raiser-for-12th-agritec-africa-conference-ahead-of-kicc-summit/","2026-07-14","scraped:MoALD News","PS Agriculture Leads Curtain Raiser for 12th Agritec Africa Conference Ahead of KICC SummitView moreMay 5, 2026."
"7","Agriculture","PSA","The 4th National Kalro Open Research Week and 20th Annual Ruiru Coffee Fair is now open. Farmers and stakeholders in the coffee industry are encouraged to participate.","","","","","https://kilimo.go.ke/ps-for-agriculture-dr-kipronoh-ronoh-paul-cbs-officially-opens-4th-national-kalro-open-research-week-and-20th-annual-ruiru-coffee-fair/","2026-07-14","scraped:MoALD News","PS for Agriculture Dr. Kipronoh Ronoh Paul, CBS, Officially Opens 4th National Kalro Open Research Week and 20th Annual Ruiru Coffee FairView moreFebruary 12, 2026."
"8","Agriculture","PSA","Farmers in Garissa are encouraged to utilize the Bulla Cadey Irrigation Scheme to enhance agricultural productivity.","","","","","https://kilimo.go.ke/ps-agriculture-and-cs-water-commission-bulla-cadey-irrigation-scheme-in-garissa/","2026-07-14","scraped:MoALD News","PS Agriculture and CS Water Commission Bulla Cadey Irrigation Scheme in GarissaView moreAugust 26, 2025."
"9","Agriculture","PSA","The High Court has dismissed a petition against the Nzoia Sugar lease, allowing West Kenya Sugar to proceed with its Ksh 5.7 billion investment.","","","","","https://kilimo.go.ke/rulling/","2026-07-14","scraped:MoALD News","High Court Dismisses Wamunyinyi's Petition Against Nzoia Sugar Lease, Upholds West Kenya Sugar's Ksh 5.7 Billion InvestmentView moreJune 20, 2025."
"10","Agriculture","PSA","The Kenya Sugar Board announces that no sugar factories have been sold; they are only leased. Stakeholders should verify their contracts accordingly.","","","","","https://kilimo.go.ke/no-sugar-factory-sold-only-leased-agriculture-livestock-development-cs-tells-parliament/","2026-07-14","scraped:MoALD News","No Sugar Factory Sold, Only Leased – Agriculture & Livestock Development CS Tells Parliament.View moreMay 13, 2025."
"11","Agriculture","PSA","The Kenyan government has partnered with Pula Advisors to offer an innovative insurance program aimed at boosting climate resilience for smallholder farmers.","","","","","https://kilimo.go.ke/kenya-partners-with-pula-advisors-to-boost-climate-resilience-for-smallholder-farmers-through-innovative-insurance-program/","2026-07-14","scraped:MoALD News","Kenya Partners with Pula Advisors to Boost Climate Resilience for Smallholder Farmers Through Innovative Insurance ProgramView moreMay 9, 2025."
"12","Agriculture","PSA","Farmers and agribusiness stakeholders are encouraged to participate in new opportunities under the Bottom-Up Economic Transformation Agenda (BETA) for agricultural reforms and sugar sector revitalization.","","","","","https://kilimo.go.ke/cs-mutahi-kagwe-briefs-rt-hon-raila-odinga-on-agricultural-reforms-sugar-sector-revitalization-under-beta-agenda/","2026-07-14","scraped:MoALD News","CS Mutahi Kagwe Briefs Rt. Hon. Raila Odinga on Agricultural Reforms, Sugar Sector Revitalization Under BETA AgendaView moreMay 8, 2025. Later this afternoon, the Cabinet Secretary for Agriculture and Livestock Development, Sen. Mutahi Kagwe, paid a courtesy call to Rt. Raila Odinga, Kenya's Former Prime Minister. During the meeting, CS Kagwe briefed the Rt. Odinga on key developments and emerging opportunities in the agriculture sector, with a special focus on transformative initiatives under the Bottom-Up Economic Transformation Agenda (BETA). Discussions also centered around the strategic leasing of sugar mills—an effort aimed at revitalizing the sugar industry and ensuring long-term sustainability for farmers and stakeholders. The Rt. Odinga expressed keen interest and support for these reforms, recognizing their potential to spur rural economic growth and food security."
"13","Agriculture","PSA","A partnership has been formed to address climate challenges in East African agriculture. Farmers are encouraged to stay informed about upcoming initiatives and resources.","","","","","https://kilimo.go.ke/cs-sen-mutahi-kagwe-kilimo-trust-ceo-dr-birungi-korutaro-forge-partnership-to-tackle-climate-challenges-in-east-african-agriculture/","2026-07-14","scraped:MoALD News","CS Sen Mutahi Kagwe, Kilimo Trust CEO Dr. Birungi Korutaro Forge Partnership to Tackle Climate Challenges in East African AgricultureView moreMay 8, 2025."
"14","Agriculture","PSA","The government has waived packaging taxes to support the tea sector. Farmers are encouraged to take advantage of this initiative.","","","","","https://kilimo.go.ke/government-waives-packaging-taxes-to-boost-tea-sector-cs-mutahi-kagwe-reaffirms-support-for-farmers/","2026-07-14","scraped:MoALD News","Government Waives Packaging Taxes to Boost Tea Sector, CS Mutahi Kagwe Reaffirms Support for FarmersView moreMay 6, 2025."
"15","Agriculture","PSA","The World Bank is collaborating with the Ministry of Agriculture to advance the Digital Agriculture Roadmap. Stay informed for updates on program opportunities.","","","","","https://kilimo.go.ke/world-bank-pays-courtesy-call-to-cabinet-secretary-ministry-of-agriculture-to-advance-digital-agriculture-roadmap/","2026-07-14","scraped:MoALD News","World Bank Pays Courtesy Call to Cabinet Secretary Ministry of Agriculture to Advance Digital Agriculture RoadmapView moreApril 9, 2025."
"16","Agriculture","PSA","There is ongoing collaboration between the PS for Agriculture and the World Bank Group regarding Kenya's Digital Agriculture Roadmap. Stay informed for upcoming initiatives.","","","","","https://kilimo.go.ke/ps-for-agriculture-dr-ronoh-hosts-world-bank-group-for-talks-on-kenyas-digital-agriculture-roadmap/","2026-07-14","scraped:MoALD News","PS for Agriculture, Dr. Ronoh, Hosts World Bank Group for Talks on Kenya's Digital Agriculture RoadmapView moreApril 8, 2025."
"17","Agriculture","PSA","The Rockefeller Foundation is partnering with Kenya to enhance food security and promote agricultural innovation. Farmers and agribusiness stakeholders should stay updated on new initiatives.","","","","","https://kilimo.go.ke/kenya-and-rockefeller-foundation-forge-strategic-alliance-to-boost-food-security-and-agricultural-innovation/","2026-07-14","scraped:MoALD News","Kenya and Rockefeller Foundation Forge Strategic Alliance to Boost Food Security and Agricultural InnovationView moreApril 8, 2025."
"18","Agriculture","PSA","Farmers are assured of uninterrupted fertilizer supply from the Thika NCPB Depot.","","","","","https://kilimo.go.ke/secretary-administration-visits-thika-ncpb-depot-assures-farmers-of-uninterrupted-fertilizer-supply/","2026-07-14","scraped:MoALD News","Secretary Administration Visits Thika NCPB Depot, Assures Farmers of Uninterrupted Fertilizer SupplyView moreMarch 26, 2025."
"19","Agriculture","PSA","There are ongoing assessments in Kenya's tea sector. Stakeholders in the tea industry are encouraged to stay informed about developments and implement any necessary adjustments to improve productivity.","","","","","https://kilimo.go.ke/cs-mutahi-kagwe-assesses-progress-in-kenyas-tea-sector-at-chai-trading-warehouses/","2026-07-14","scraped:MoALD News","CS Mutahi Kagwe Assesses Progress in Kenya's Tea Sector at Chai Trading WarehousesView moreMarch 14, 2025."
