PSA_ID,Domain,English,Kiswahili,Target_Language,Source,Source_URL,Date,Metadata
EDU-00001,Education,"Furthermore, participants will have the chance to experience Kuwaiti culture and engage with their vibrant and youthful community, shaped by both Middle Eastern traditions and international educational practices.",,,MoE_Kenya_News,https://www.education.go.ke/15th-international-invention-exhibition-middle-east-iifme-be-held-18th-11th-february2026-state,2025-09-02,General
EDU-00002,Education,"29th Graduation Ceremony of the Moi Teachers Training College, Baringo.",,,MoE_Kenya_News,https://www.education.go.ke/29th-graduation-ceremony-moi-teachers-training-college-baringo,2025-07-31,Teachers
EDU-00003,Education,"To adequately prepare for the requirements of the roll-out of Competency-Based Education, the Government is committed to ensuring that teacher training is aligned with the new education system.",,,MoE_Kenya_News,https://www.education.go.ke/29th-graduation-ceremony-moi-teachers-training-college-baringo,2025-07-31,Teachers
EDU-00004,Education,"Earlier today, the Cabinet Secretary for Education, Julius Migos Ogamba, has presided over the 29th Graduation Ceremony of the Moi Teachers Training College, Baringo.",,,MoE_Kenya_News,https://www.education.go.ke/29th-graduation-ceremony-moi-teachers-training-college-baringo,2025-07-31,Teachers
EDU-00005,Education,"The graduates have now added to the growing number of teaching professionals, well- prepared to support the implementation of Competency-Based Education.",,,MoE_Kenya_News,https://www.education.go.ke/29th-graduation-ceremony-moi-teachers-training-college-baringo,2025-07-31,General
EDU-00006,Education,"63RD MADARAKA DAY CELEBRATIONS THEME: Education, Skills and the Future-WAJIR
GOVERMENT WILL INVEST IN EDUCATION.",,,MoE_Kenya_News,https://www.education.go.ke/63rd-madaraka-day-celebrations-theme-education-skills-and-future-wajir,2026-05-29,General
EDU-00007,Education,A cross section of leaders drawn from the  National Government and the  County Government of Wajir have called for improvement of Education through concerted interventions.,,,MoE_Kenya_News,https://www.education.go.ke/63rd-madaraka-day-celebrations-theme-education-skills-and-future-wajir,2026-05-29,General
EDU-00008,Education,Education Cabinet Secretary  Julius Migos Ogamba who was a Chief guest during a week long Educational Exhibition in  wajir said the education freedom is the most important investment the current generation can give to their children.,,,MoE_Kenya_News,https://www.education.go.ke/63rd-madaraka-day-celebrations-theme-education-skills-and-future-wajir,2026-05-29,General
EDU-00009,Education,"In a speech read on his behalf by the Principal Secretary for higher Education,Dr.",,,MoE_Kenya_News,https://www.education.go.ke/63rd-madaraka-day-celebrations-theme-education-skills-and-future-wajir,2026-05-29,General
EDU-00010,Education,"Beatrice Inyangalla,the  Education CS said his Ministry will improve school infrastructures across the country.",,,MoE_Kenya_News,https://www.education.go.ke/63rd-madaraka-day-celebrations-theme-education-skills-and-future-wajir,2026-05-29,Schools
EDU-00011,Education,"Ahmed Muhammed Abdi ,Deputy County governor Wajir,who represented the governor requested for  the establishment of a university in the region saying it will boost the  the education outcome for many local residents.",,,MoE_Kenya_News,https://www.education.go.ke/63rd-madaraka-day-celebrations-theme-education-skills-and-future-wajir,2026-05-29,General
EDU-00012,Education,Two principal Secretaries from the the Ministry called upon the residents to fully interact with Education officials for them to benefit in the arrangement.,,,MoE_Kenya_News,https://www.education.go.ke/63rd-madaraka-day-celebrations-theme-education-skills-and-future-wajir,2026-05-29,General
EDU-00013,Education,"""This is a rare opportunity, ensure you utilize it for your benefits,"" Ps for higher Education,Dr.",,,MoE_Kenya_News,https://www.education.go.ke/63rd-madaraka-day-celebrations-theme-education-skills-and-future-wajir,2026-05-29,General
EDU-00014,Education,"On her part Dr. Esther  Muoria ,Ps for Technical and Vocational Training (TVET),told the participants that there is an opportunity for every learner especially in Tvet institutions where skill acquisition is the main agenda.""",,,MoE_Kenya_News,https://www.education.go.ke/63rd-madaraka-day-celebrations-theme-education-skills-and-future-wajir,2026-05-29,Teachers
EDU-00015,Education,"Assessing progress of KPEEL and SEEQIP projects
The Cabinet Secretary for Education, Julius Migos Ogamba, yesterday chaired a Joint National Projects Steering Committee Meeting for the Kenya Primary Education Equity in Learning (KPEEL) Programme, the Kenya Secondary Education Equity and Quality Improvement Programme (SEEQIP), and the Development of Schools Infrastructure in Nyamira County Project at the Kenya Institute of Curriculum Development.",,,MoE_Kenya_News,https://www.education.go.ke/assessing-progress-kpeel-and-seeqip-projects,2026-02-12,Curriculum
EDU-00016,Education,"The meeting provided an opportunity for stakeholders to assess progress, address emerging challenges, and strengthen coordination to ensure the timely and effective delivery of these key education initiatives.",,,MoE_Kenya_News,https://www.education.go.ke/assessing-progress-kpeel-and-seeqip-projects,2026-02-12,General
EDU-00017,Education,"The programmes are central to the Government’s efforts to expand access, improve quality, and promote equity in basic education across the country.",,,MoE_Kenya_News,https://www.education.go.ke/assessing-progress-kpeel-and-seeqip-projects,2026-02-12,General
EDU-00018,Education,"In attendance were the Principal Secretary for the State Department for Basic Education, Prof. Julius Bitok, and representatives from development partners.",,,MoE_Kenya_News,https://www.education.go.ke/assessing-progress-kpeel-and-seeqip-projects,2026-02-12,General
EDU-00019,Education,"Basic Education principal secretary accompany Head of public service,Felix Koskei to Celebrate Education excellence at Maryhill High school in Kiambu.",,,MoE_Kenya_News,https://www.education.go.ke/basic-education-principal-secretary-accompany-head-public-servicefelix-koskei-celebrate-education,2026-06-19,Schools
EDU-00020,Education,"Today,the principal secretary for Basic Education,John Ololtuaa accompany The head of public service,Felix Koskei for prize- Giving Day at Maryhill High school in Kiambu County.",,,MoE_Kenya_News,https://www.education.go.ke/basic-education-principal-secretary-accompany-head-public-servicefelix-koskei-celebrate-education,2026-06-19,Schools
EDU-00021,Education,"The PS said the occasion provided an opportunity to celebrate the outstanding achievements of learners as well as the unwavering teachers' dedication and continued support from parents and the school board of management .
""",,,MoE_Kenya_News,https://www.education.go.ke/basic-education-principal-secretary-accompany-head-public-servicefelix-koskei-celebrate-education,2026-06-19,Teachers
EDU-00022,Education,"I congratulate all the prize recipients for their hardwork, discipline and determination "", the Basic Education principal secretary said.He encouraged all the learners to remain focused and committed to Education excellence.",,,MoE_Kenya_News,https://www.education.go.ke/basic-education-principal-secretary-accompany-head-public-servicefelix-koskei-celebrate-education,2026-06-19,General
EDU-00023,Education,"Basic Education Principal Secretary , John Ololtuaa toured the Kenya Institugte of special Education ( KISE) to learn how the centre impacts  inclusive Education.",,,MoE_Kenya_News,https://www.education.go.ke/basic-education-principal-secretary-john-ololtua-tours-kise,2026-07-03,General
EDU-00024,Education,He visited the ongoing construction of an assistive device Factory which is meant to locally produce  various devices for Special needs learners within the Country and beyond.He was also taken to the Special needs assessment Centre where early comprehensive assessments are conducted to identify and address the diverse educational needs of Special needs learners.,,,MoE_Kenya_News,https://www.education.go.ke/basic-education-principal-secretary-john-ololtua-tours-kise,2026-07-03,General
EDU-00025,Education,The PS noted with appreciation that  two  State of the earth facilities will go along way in improving access to quality learning for the learners.,,,MoE_Kenya_News,https://www.education.go.ke/basic-education-principal-secretary-john-ololtua-tours-kise,2026-07-03,General
