PSA_ID,Domain,Subcategory,EN,SW,SO,EK,DH,Source,Date_Generated,Confidence_Note
PSA_00001,Health,Disease Prevention and Control,The Kenya Red Cross warns residents of Eldoret of a rise in tuberculosis cases and advises precaution the next 7 days.,Msalaba Mwekundu wa Kenya inawaonya wakazi wa Eldoret kuhusu ongezeko la visa vya kifua kikuu na kutaka tahadhari siku 7 zijazo.,Iskaashiga Casumaadka Kenya waxay uga digaysaa dadka Eldoret kororka kiisaska qaaxada 7-da maalmood ee soo socda.,Red Cross ya Kenya egoseka abanto b'Eldoret ase okoongera kw'amasiko a chifua kikuu ebiro saba biria bироche.,Red Cross mar Kenya siemo jo Eldoret kuom medruok mar TB ndalo abiriyo mabiro.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00002,Health,Disease Prevention and Control,KEMRI warns residents of Kakamega of a rise in malaria cases and advises precaution 30th July 2026.,KEMRI inawaonya wakazi wa Kakamega kuhusu ongezeko la visa vya malaria na kutaka tahadhari tarehe 30 Julai 2026.,KEMRI waxay uga digaysaa dadka Kakamega kororka kiisaska duumada 30-ka Luulyo 2026.,KEMRI egoseka abanto b'Kakamega ase okoongera kw'amasiko a malaria ekiro kia 30 Julai 2026.,KEMRI siemo jo Kakamega kuom medruok mar malaria tarik 30 Julai 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00003,Health,Disease Prevention and Control,KEMRI reminds the public in Kilifi that HIV/AIDS screening is available the next 7 days.,KEMRI inawakumbusha umma wa Kilifi kuwa uchunguzi wa VVU/UKIMWI unapatikana siku 7 zijazo.,KEMRI waxay xasuusinaysaa dadweynaha Kilifi in baaritaanka HIV/AIDS-ka la heli karo 7-da maalmood ee soo socda.,KEMRI egoibokia abanto b'Kilifi ng'okoigereka kwa HIV/UKIMWI kwaboreka ebiro saba biria bироche.,KEMRI paro ni ji Kilifi ni nonro mar HIV/AIDS nitie ndalo abiriyo mabiro.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00004,Health,Disease Prevention and Control,The Ministry of Health urges residents of Kisii to attend the free malaria clinic 20th October 2026.,Wizara ya Afya inawahimiza wakazi wa Kisii kuhudhuria kliniki ya bure ya malaria tarehe 20 Oktoba 2026.,Wasaaradda Caafimaadka waxay ku booriyaysaa dadka Kisii inay ka qeybgalaan kaliinigga bilaashka ah ee duumada 20-ka Oktoobar 2026.,Ministri y'Ebiombe egotebia abanto b'Kisii gochia ase kiliniki ekya malaria bwerabwera ekiro kia 20 Oktoba 2026.,Ministry mar Ngima jiwo ni jo Kisii mondo obi e kliniki mar malaria nono tarik 20 Oktoba 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00005,Health,Disease Prevention and Control,KEMRI warns residents of Kisumu of a rise in malaria cases and advises precaution during the coming school term.,KEMRI inawaonya wakazi wa Kisumu kuhusu ongezeko la visa vya malaria na kutaka tahadhari muhula ujao wa shule.,KEMRI waxay uga digaysaa dadka Kisumu kororka kiisaska duumada xilliga dugsiga ee soo socda.,KEMRI egoseka abanto b'Kisumu ase okoongera kw'amasiko a malaria omwaka ogochaa ogw'esukuru.,KEMRI siemo jo Kisumu kuom medruok mar malaria kinde skul mabiro.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00006,Health,Disease Prevention and Control,KEMRI reminds the public in Migori that HIV/AIDS screening is available 20th October 2026.,KEMRI inawakumbusha umma wa Migori kuwa uchunguzi wa VVU/UKIMWI unapatikana tarehe 20 Oktoba 2026.,KEMRI waxay xasuusinaysaa dadweynaha Migori in baaritaanka HIV/AIDS-ka la heli karo 20-ka Oktoobar 2026.,KEMRI egoibokia abanto b'Migori ng'okoigereka kwa HIV/UKIMWI kwaboreka ekiro kia 20 Oktoba 2026.,KEMRI paro ni ji Migori ni nonro mar HIV/AIDS nitie tarik 20 Oktoba 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00007,Health,Disease Prevention and Control,The Ministry of Health calls on all households in Nakuru to complete HIV/AIDS vaccination 15th August 2026.,Wizara ya Afya inatoa wito kwa kaya zote za Nakuru kukamilisha chanjo ya VVU/UKIMWI tarehe 15 Agosti 2026.,Wasaaradda Caafimaadka waxay ku dhiirigelinaysaa qoysaska Nakuru inay dhammaystiraan tallaalka HIV/AIDS-ka 15-ka Ogosto 2026.,Ministri y'Ebiombe egoiterera amache aria ase Nakuru okomaliza chanjo ya HIV/UKIMWI ekiro kia 15 Agosti 2026.,Ministry mar Ngima luongo ute duto e Nakuru mondo giti chuoyo mar HIV/AIDS tarik 15 Agosti 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00008,Health,Disease Prevention and Control,The County Department of Health reminds the public in Machakos that tuberculosis screening is available 1st September 2026.,Idara ya Afya ya Kaunti inawakumbusha umma wa Machakos kuwa uchunguzi wa kifua kikuu unapatikana tarehe 1 Septemba 2026.,Waaxda Caafimaadka ee Gobolka waxay xasuusinaysaa dadweynaha Machakos in baaritaanka qaaxada la heli karo 1-da Sebtember 2026.,Ebiombe bia County egoibokia abanto b'Machakos ng'okoigereka kwa chifua kikuu kwaboreka ekiro kia 1 Septemba 2026.,Bad mar Ngima e County paro ni ji Machakos ni nonro mar TB nitie tarik 1 Septemba 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00009,Health,Disease Prevention and Control,The County Department of Health calls on all households in Kilifi to complete tuberculosis vaccination 20th October 2026.,Idara ya Afya ya Kaunti inatoa wito kwa kaya zote za Kilifi kukamilisha chanjo ya kifua kikuu tarehe 20 Oktoba 2026.,Waaxda Caafimaadka ee Gobolka waxay ku dhiirigelinaysaa qoysaska Kilifi inay dhammaystiraan tallaalka qaaxada 20-ka Oktoobar 2026.,Ebiombe bia County egoiterera amache aria ase Kilifi okomaliza chanjo ya chifua kikuu ekiro kia 20 Oktoba 2026.,Bad mar Ngima e County luongo ute duto e Kilifi mondo giti chuoyo mar TB tarik 20 Oktoba 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00010,Health,Disease Prevention and Control,KEMRI urges residents of Nairobi to attend the free cholera clinic before the end of the month.,KEMRI inawahimiza wakazi wa Nairobi kuhudhuria kliniki ya bure ya kipindupindu kabla ya mwisho wa mwezi.,KEMRI waxay ku booriyaysaa dadka Nairobi inay ka qeybgalaan kaliinigga bilaashka ah ee daacuunka ka hor dhammaadka bisha.,KEMRI egotebia abanto b'Nairobi gochia ase kiliniki ekya kipindupindu bwerabwera imbere y'okoisia okwaikara.,KEMRI jiwo ni jo Nairobi mondo obi e kliniki mar kolera nono kapok dwe orumo.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
