PSA_ID,Domain,English,Kiswahili,Dholuo,Source_Name,Source_URL,Date,Metadata
PSA-b57be9fa9f1d,health,People who have been in contact with a confirmed case of COVID-19 are at an increased risk of infection and disease.,,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-c0b3b1ea76b9,health,"If you touch these surfaces the virus may transfer to your hands, then to mouth, nose or eyes when you touch your face.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-3053e2a36796,health,Isolation for Asymptomatic COVID infection 1.1 People with asymptomatic COVID infection do not need to isolate .,,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-8a1393e0b60b,health,"In such settings, individuals with asymptomatic infection should be isolated in a separate room, or in a COVID ward, for 5 days from the date of the test. 1.3.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-a37acefd7ebc,health,"Asymptomatic COVID infected staff at health facilities and care homes, should stay away from the workplace for 5 days from the date of the test.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-ff7ed758f1a8,health,"Where possible to do so, they should work remotely from home. 2.Isolation for Mild Symptomatic COVID infection Those with symptomatic COVID infection who have mild disease (they do not require hospitalisation for COVID pnuemonia) should isolate for 7 days from the date of start of symptoms.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-ca362821c32a,health,All quarantine should be stopped .,,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-98a47ab4ba3a,health,Those with ongoing exposure to asymptomatic COVID infected persons (since these people are not isolating) or to symptomatic COVID infected persons (e.g. the caregiver of symptomatic infected child) do not need to quarantine. 4.4.,,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-39b6bf223048,health,"Those who had exposure to COVID should closely watch out for COVID symptoms, and isolate if any symptoms develop. 5.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-2b3bf1c6c858,health,Contact Tracing 5.1.,,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-df35f7529589,health,Active contact tracing should be stopped. 5.2.,,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-597b3b67ef0b,health,"Passive contact informing by alerting (either by a clinician or an sms) people with COVID to inform others that they have been exposed to the coronavirus and should watch out for COVID symptoms, should continue.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-cf02e3ad3edd,health,Antibiotics do not treat viral infections.,,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-740b1e6cf3c5,health,Isolation for Asymptomatic COVID infection People with asymptomatic COVID-19 infection do not need to isolate.,,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-1027374ee0e5,health,However they should be advised to: Isolation for Mild Symptomatic COVID-19 infection Those with symptomatic COVID infection who have mild disease (they do not require hospitalisation for COVID pnuemonia) should isolate for 7 days from the date of start of symptoms.,,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-0a239043965d,health,"If you test positive then it means that genetic material of the virus was detected in your sample, which is normally a sample collected from your nose or throat and confirms a diagnosis of SARS-CoV-2 infection.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-9185a9e59825,health,"Although the PCR test is a very sensitive test, there is no test that is 100% sensitive and so if you are tested very early in your infection, and the viral loads in your body are low then the test may not detect the virus.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-8b8d66610a6e,health,"Similarly, if you are tested towards the end of the infection, your test result may change to negative.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-90a7e52dc288,health,"For medical/clinical related queries by health care professionals only , contact the NICD hotline at 0800 111131.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-619c6653b602,health,For quick reference guidelines for healthcare workers CLICK HERE The government has a number of helplines and call centres through which you can get information about services and programmes.,,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-17c344167757,health,These are available here; For GOVERNMENT CALL CENTRES AND HELPLINES CLICK HERE For more COVID-19 information MORE INFO HERE,,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/frequently-asked-questions/,,article_title=COVID-19 FREQUENTLY ASKED QUESTIONS - NICD
PSA-9117c6606006,health,"Please Note: Going forward, this SARS-CoV-2 NGS-SA report will no longer be generated.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/surveillance-reports/sars-cov-2-genomic-surveillance-update/,,article_title=SARS-CoV-2 GENOMIC SURVEILLANCE UPDATE - NICD
PSA-b951a645947e,health,"However, circulating SARS-CoV-2 lineages will continue to be monitored and will be reported in the Weekly Respiratory Pathogens Surveillance Report.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/surveillance-reports/sars-cov-2-genomic-surveillance-update/,,article_title=SARS-CoV-2 GENOMIC SURVEILLANCE UPDATE - NICD
PSA-8421924c5b0d,health,"Please see below the NGS-SA report (09 Septrmber 2024) Testing for SARS-CoV-2 throughout the whole country is very low, and as a result few specimens are being submitted for sequencing.",,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/surveillance-reports/sars-cov-2-genomic-surveillance-update/,,article_title=SARS-CoV-2 GENOMIC SURVEILLANCE UPDATE - NICD
PSA-7e031507ff8a,health,SARS-CoV-2 detections remain stable from systematic testing from sentinel syndromic surveillance ( WEEKLY RESPIRATORY PATHOGENS SURVEILLANCE REPORT WEEK ).,,,South Africa NICD,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/surveillance-reports/sars-cov-2-genomic-surveillance-update/,,article_title=SARS-CoV-2 GENOMIC SURVEILLANCE UPDATE - NICD
