Category,English
health,"The WHO Hub for Pandemic and Epidemic Intelligence supports countries, regional and global actors to address future pandemic and epidemic risks with better access to data, better analytical capacities, and better tools and insights for decision-making."
health,Visit the Director's site Alliance for Primary Health Care in the Americas Better Care for NCDs Initiative Zero preventable maternal deaths Elimination Initiative
health,"When carried out using a method recommended by WHO appropriate to the pregnancy duration, and by someone with the necessary skills, abortion is a safe health care intervention (2)."
health,"In 2022, WHO published an updated, consolidated guideline on abortion care, including all WHO recommendations and best practice statements across three domains essential to the provision of abortion care: law and policy, clinical services and service delivery."
health,Global and regional causes of maternal deaths 2009-20: a WHO systematic analysis.
health,European Journal of Public Health 2018. https://www.ncbi.nlm.nih.gov/pubmed/29878101 (3) High prevalence of elder abuse during the COVID-19 pandemic: risk and resilience factors.
health,"Violence during adolescence also increases the risks of injury, HIV and other sexually transmitted infections, mental health problems, poor school performance and dropout, early pregnancy, reproductive health problems, and communicable and noncommunicable diseases."
health,Adolescent mental health fact sheet An estimated 1.7 million adolescents (age 10–19 years) were living with HIV in 2021 with around 90% in the WHO African Region.
health,"HIV facts in pictures Tuberculosis (TB) is a preventable and curable disease, but it continues to impact the lives and development of millions of children and adolescents."
health,The Global Tuberculosis Report shows that notification rates in adolescents aged 15–19 years are relatively high compared with younger adolescents.
health,"Tuberculosis fact sheet Other infectious diseases Diarrhoea and lower respiratory tract infections (pneumonia) are estimated to be among the top five causes of death for adolescents 10–14 years, with mortality rates being particularly high in African low- and middle-income countries."
health,Diarrhoeal disease fact sheet Early adolescence (9–14 years) is the optimal time for vaccination against HPV infection and it is estimated that if 90% of girls globally get the HPV vaccine more than 40 million lives could be saved over the next century.
health,Human papillomavirus (HPV) and cervical cancer fact sheet Overall there are proportionally fewer cases of and deaths from COVID-19 disease for adolescents and young adults than for older adults.
health,"However, the pandemic has severe indirect negative effects on young people’s well-being, including on their mental health, loss of education time through school closures, social isolation, physical inactivity, malnutrition and domestic violence."
health,"Adolescent pregnancy fact sheet Many of the main causes of mortality in adolescents and young adults have strong links to the environment, including unintentional injuries and infectious diseases."
health,Regular deworming in areas where intestinal helminths such as hookworm are common is recommended to prevent micronutrient (including iron) deficiencies.
health,"Malnutrition fact sheet Healthy diet fact sheet Globally, in 2016, only 1 in 5 adolescents are estimated to meet WHO guidelines on physical activity."
health,"To improve adolescent health measurement globally, WHO in collaboration with UNAIDS, UNESCO, UNFAP, UNICEF, UN Women, the World Bank Group, and the World Food Programme (WFP), has established the Global Action for Measurement of Adolescent health (GAMA) Advisory Group ."
health,There is growing attention being paid to improving access to quality maternal care for pregnant and parenting adolescents.
health,"WHO works with partners to advocate for attention to adolescent pregnancy, to build an evidence base for action, to develop policy and programme support tools, to build capacity and to support countries to address adolescent pregnancy effectively."
health,"Even within countries, there are enormous variations, for example in Zambia the percentage of adolescent girls aged 15–19 who have begun childbearing (women who either have had a birth or are pregnant at the time of interview) ranged from 14.9% in Lusaka to 42.5% in the Southern Province in 2018 (4)."
health,"As of 2021, the estimated global number of child brides was 650 million : child marriage places girls at increased risk of pregnancy because girls who are married very early typically have limited autonomy to influence decision-making about delaying child-bearing and contraceptive use."
health,A WHO report published in 2021 estimates that 120 million girls aged under 20 years were subjected to sexual violence by someone other than a partner.
health,"However, there is growing attention being paid to improving access to and quality of maternal care for pregnant and parenting adolescents."
health,"In this evolving context, WHO continues its work across sectors to support countries to address adolescent pregnancy effectively in the context of their national programmes, and to prevent child marriage and provide care and support to married adolescents."
health,"Common conditions in older age include hearing loss, cataracts and refractive errors, back and neck pain and osteoarthritis, chronic obstructive pulmonary disease, diabetes, depression and dementia."
health,A comprehensive public health response must address this wide range of older people’s experiences and needs.
health,"Public health professionals, and society as a whole, need to address these and other ageist attitudes, which can lead to discrimination, affect the way policies are developed and the opportunities older people have to experience healthy aging."
health,A public health response must take stock of these current and projected trends and frame policies accordingly.
health,"However, countries report continued interference from the alcohol industry in policy development."
health,"Overall, the proportion of people with alcohol use disorders in contact with treatment services varies from less than 1% to no more than 14% in all countries where such data are available."
