PSA_ID,Domain,Class,Sub_Category,English,Source,Date,Metadata
1,Security & Safety,PSA,Public Safety Awareness,National Police Service Commission Functions & Mandate,National Police Service Commission (NPSC),2021-12-14,"{""source_url"": ""https://www.npsc.go.ke/functions-mandate/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
2,Security & Safety,PSA,Public Safety Awareness,Statement on Police Salaries and Promotion - National Police Service Commission,National Police Service Commission (NPSC),2024-09-05,"{""source_url"": ""https://www.npsc.go.ke/download/statement-on-police-salaries-and-promotion/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
3,Security & Safety,PSA,Public Safety Awareness,"The NPSC began operations on October 5, 2012, following the appointment of six Commissioners through Gazette Notice No.",National Police Service Commission (NPSC),2025-09-25,"{""source_url"": ""https://www.npsc.go.ke/about-us/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
4,Security & Safety,PSA,Public Safety Awareness,"Peter Leley, EBS - National Police Service Commission",National Police Service Commission (NPSC),2025-10-03,"{""source_url"": ""https://www.npsc.go.ke/team/peter-kiptanui-leley/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
5,Security & Safety,PSA,Public Safety Awareness,"Dr. Amani Yuda Komora, PhD, MBS, CHRP(K), FIHRM - National Police Service Commission",National Police Service Commission (NPSC),2025-10-13,"{""source_url"": ""https://www.npsc.go.ke/team/dr-amani-yuda-komora-phd-mbs-chrpk/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
6,Security & Safety,PSA,Public Safety Awareness,Refugee-Led Research Hub (RLRH) - Refugee-Led Organisations in East Africa: Community Perceptions in Kenya - November 2022 - Kenya,ReliefWeb Kenya,2022-11-30,"{""source_url"": ""https://reliefweb.int/report/kenya/refugee-led-research-hub-rlrh-refugee-led-organisations-east-africa-community-perceptions-kenya-november-2022"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
7,Security & Safety,PSA,Public Safety Awareness,"Navigating the City - The Internal Migration of Refugees from Kakuma and Dadaab Refugee Camps to Nairobi, Working paper 3 - December 2024 - Kenya",ReliefWeb Kenya,2024-12-09,"{""source_url"": ""https://reliefweb.int/report/kenya/navigating-city-internal-migration-refugees-kakuma-and-dadaab-refugee-camps-nairobi-working-paper-3-december-2024"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
8,Security & Safety,PSA,Public Safety Awareness,JRS - Economic Inclusion of Refugees and Host Communities in Kenya: A market analysis - Kenya,ReliefWeb Kenya,2025-02-21,"{""source_url"": ""https://reliefweb.int/report/kenya/jrs-economic-inclusion-refugees-and-host-communities-kenya-market-analysis"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
9,Security & Safety,PSA,Public Safety Awareness,"Educational challenges in refugee camps in Turkana County, Kenya: a brief literature review - Kenya Kenya: Salesian Missions provides funding for new bathrooms at Don Bosco - Kenya The toilets are modern and have sensors for flushing to avoid wasting water.",ReliefWeb Kenya,2025-03-24,"{""source_url"": ""https://reliefweb.int/report/kenya/educational-challenges-refugee-camps-turkana-county-kenya-brief-literature-review"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
10,Security & Safety,PSA,Public Safety Awareness,Kenya Annual Country Report 2024 - Country Strategic Plan 2023 - 2027 - Kenya Climate Change Impacts on Food Security and Nutrition in Kenya's Arid and Semi-Arid Lands: A Brief Literature Review - Kenya It concludes with strategic recommendations to strengthen climate resilience and ensure food and nutrition security across Kenya’s most climate-vulnerable regions. KEN: Epidemic - 02-2025 - Cholera Outbreak field report #3 (2025-03-27) - Kenya,ReliefWeb Kenya,2025-03-27,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-annual-country-report-2024-country-strategic-plan-2023-2027"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
11,Security & Safety,PSA,Public Safety Awareness,"UNHCR’s Grandi hails launch of Kenya’s landmark refugee inclusion plan - Kenya Kenya - Food insecurity and malnutrition (DG ECHO, IPC) (ECHO Daily Flash of 28 March 2025) - Kenya",ReliefWeb Kenya,2025-03-28,"{""source_url"": ""https://reliefweb.int/report/kenya/unhcrs-grandi-hails-launch-kenyas-landmark-refugee-inclusion-plan"", ""collected_at"": ""2026-07-13T00:51:45.803564""}"
12,Security & Safety,PSA,Public Safety Awareness,"WFP Kenya Country Brief, March 2025 - Kenya WFP’s Differentiated Assistance Approach aligns with the Shirika Plan to ensure refugee programming is sustainable and inclusive. The Urban Pull on Rural Food Production Systems in East Africa: A Brief Literature Review - Kenya",ReliefWeb Kenya,2025-03-31,"{""source_url"": ""https://reliefweb.int/report/kenya/wfp-kenya-country-brief-march-2025"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
13,Security & Safety,PSA,Public Safety Awareness,School Health & Nutrition Facility Progress Report 2024 (August-December) - Kenya - A Coordination Cell has been created for the inception phase of the SMIA initiative to ensure a more cohesive and supportive approach across the partners and countries involved.,ReliefWeb Kenya,2025-04-01,"{""source_url"": ""https://reliefweb.int/report/kenya/school-health-nutrition-facility-progress-report-2024-august-december"", ""collected_at"": ""2026-07-13T00:51:45.803564""}"
