PSA_ID,Domain,Class,Sub_Category,English,Kiswahili,Ekegusii,Dholuo,Somali,Source,Date,Metadata
1,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),National Police Service Commission | Home,,,,,National Police Service Commission (NPSC),2025-09-24,"{""source_url"": ""https://www.npsc.go.ke/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
2,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Statement on Police Salaries and Promotion - National Police Service Commission,,,,,National Police Service Commission (NPSC),2024-09-05,"{""source_url"": ""https://www.npsc.go.ke/download/statement-on-police-salaries-and-promotion/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
3,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Frequently Asked Questions About National Police Service Commission,,,,,National Police Service Commission (NPSC),2021-12-15,"{""source_url"": ""https://www.npsc.go.ke/npsc-faqs/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
4,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"if you cannot find the answer below, please message us",,,,,National Police Service Commission (NPSC),2021-12-15,"{""source_url"": ""https://www.npsc.go.ke/npsc-faqs/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
5,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"The NPSC began operations on October 5, 2012, following the appointment of six Commissioners through Gazette Notice No.",,,,,National Police Service Commission (NPSC),2025-09-25,"{""source_url"": ""https://www.npsc.go.ke/about-us/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
6,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Dr. Amani Yuda Komora, PhD, MBS, CHRP(K), FIHRM - National Police Service Commission",,,,,National Police Service Commission (NPSC),2025-10-13,"{""source_url"": ""https://www.npsc.go.ke/team/dr-amani-yuda-komora-phd-mbs-chrpk/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
7,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),National Police Service Commission Functions & Mandate,,,,,National Police Service Commission (NPSC),2021-12-14,"{""source_url"": ""https://www.npsc.go.ke/functions-mandate/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
8,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Peter Leley, EBS - National Police Service Commission",,,,,National Police Service Commission (NPSC),2025-10-03,"{""source_url"": ""https://www.npsc.go.ke/team/peter-kiptanui-leley/"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
9,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Kenya, Rwanda strengthen their defences against antimicrobial resistance - Kenya",,,,,ReliefWeb Kenya,2026-06-29,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-rwanda-strengthen-their-defences-against-antimicrobial-resistance"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
10,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"For Additional Information or to Request Interviews, Please contact: NTAGANIRA UWASE Marie France Communications officer WHO regional ofice for Africa Email: ntaganiram@who.int",,,,,ReliefWeb Kenya,2026-06-29,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-rwanda-strengthen-their-defences-against-antimicrobial-resistance"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
11,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Disclaimer - UN Office for the Coordination of Humanitarian Affairs - To learn more about OCHA's activities, please visit https://www.unocha.org/.",,,,,ReliefWeb Kenya,2026-06-03,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-humanitarian-snapshot-may-2026"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
12,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Kenya - Key Message Update: Long rains ease conditions but Crisis (IPC Phase 3) to persist in pastoral areas, May - September 2026 - Kenya",,,,,ReliefWeb Kenya,2026-06-04,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-key-message-update-long-rains-ease-conditions-crisis-ipc-phase-3-persist-pastoral-areas-may-september-2026"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
13,Security & Safety,PSA,Public Safety Awareness,Kenya Skip to main content Kenya - Status - Humanitarian Situation Latest Updates Maps and Infographics Most Read Appeals and Response Plans Alert and Ongoing Disasters Jobs Training,,,,,ReliefWeb Kenya,2026-07-01,"{""source_url"": ""https://reliefweb.int/country/ken"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
14,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Scalable and sustainable primary HIV prevention models for people from key populations - Kenya,,,,,ReliefWeb Kenya,2026-06-08,"{""source_url"": ""https://reliefweb.int/report/kenya/scalable-and-sustainable-primary-hiv-prevention-models-people-key-populations"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
