PSA_ID,Domain,Sub_Category,English,Kiswahili,Ekegusii,Dholuo,Somali,Source,Date,Metadata,Origin_File,Region,PSA_Score,Notice_Style,Needs_Native_Review
1,Governance,Public Service Delivery,EACC and Bungoma County Leadership Unite to Champion Integrity in Public Service,EACC na Uongozi wa Kaunti ya Bungoma Kuungana ili Kushinda Uadilifu Katika Utumishi wa Umma,,EACC kod Bungoma County Leadership Riwore Mondo Gimi Jotich Duto Odag e Chuny Matir,EACC iyo Hogaanka Gobolka Bungoma waxay isku mideeyaan si ay u adkeystaan Daacadnimada Adeegga Dadweynaha,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
2,Governance,Public Service Delivery,EACC Recovers Prime Government Properties Grabbed In Kakamega,EACC Inarudisha Mali za Serikali Kuu Zilizotekwa Nchini Kakamega,,EACC Oyawo Gik ma Sirkal Mokwongo Oting'o e Kakamega,EACC waxay dib u heshay hantida dawladda ee laga qabtay Kakamega,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
3,Governance,Public Service Delivery,"EACC launches a compliance risks monitoring exercise in the implementation of dam projects in the Ministry of Water, Sanitation and Irrigation.","EACC inazindua zoezi la kufuatilia hatari za kufuata katika utekelezaji wa miradi ya mabwawa katika Wizara ya Maji, Usafi na Umwagiliaji.",,EACC chako chenro mar nono pek mag luwo chike mag chike mag gwenge mag gwenge mag gwenge mag pi e piny owacho.,"EACC waxay bilaabaneysaa jimicsi kormeerka khatarta waafaqsanaanta ee hirgelinta mashaariicda biyo xireenka ee Wasaaradda Biyaha, Nadaafadda iyo Waraabinta.",EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
4,Governance,Public Service Delivery,EACC Hosts Key Eastern Africa Anti-Corruption Forum,EACC Inakaribisha Mkutano Muhimu wa Kupambana na Ufisadi Afrika Mashariki,,EACC Riwo Chokruok Maduong' mar Kedo gi Mibadhi e Afrika ma Ugwe,EACC waxay martigelisay Madasha Farshaxanka ee ka dhanka ah Midowga Afrika,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
5,Governance,Public Service Delivery,EACC Awarded for Diversity and Inclusivity,EACC Ilipewa Tuzo ya Utofauti na Ushirikiano,,EACC ne Ogwel Nikech Dhano ne Duto,EACC oo lagu abaal mariyay kala duwanaanta iyo ka mid noqoshada,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
6,Governance,Public Service Delivery,"SRC, EACC Sign Good Governance Pact","SRC, EACC Saini Mkataba wa Utawala Mzuri",,"SRC, EACC Sign Good Governance Pact","SRC, EACC Saxiix heshiis ku saabsan maamulka wanaagsan",EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
7,Governance,Public Service Delivery,EACC Holds First Ever Women in Leadership Forum,EACC Inafanya Wanawake wa Kwanza Katika Uongozi Forum,,EACC Otimo Chokruok Mokwongo mar Mon e Migawo mar Telo,EACC waxay qabatay kulankii ugu horreeyay ee haweenka ee hoggaanka,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
8,Governance,Public Service Delivery,"Ethics and Anti-Corruption Commission gathers information on corruption occurring in Government and the public Sector from a variety of sources. These sources include members of the public, heads of government departments and agencies, officials working in both the public and private sectors and the media.",Tume ya Maadili na Kupambana na Ufisadi inakusanya habari juu ya ufisadi unaotokea katika Serikali na Sekta ya umma kutoka vyanzo mbalimbali.,,Commission mar Ethics and Anti-Corruption Commission (ECAC) choko weche e wi mibadhi ma timore e sirkal kod e sirkal kuom yore mopogore opogore.,Guddiga anshaxa iyo la dagaalanka musuqmaasuqa wuxuu macluumaad ku saabsan musuqmaasuqa ka dhaca dowladda iyo qaybta dadweynaha ka soo ururiyaa ilo kala duwan.,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
9,Governance,Public Service Delivery,"The reports can be made at the EACC headquarter (Integrity Center), our regional offices and all Huduma Centers countrywide.","Ripoti zinaweza kufanywa katika makao makuu ya EACC (Mkutano wa Utimilifu), ofisi zetu za kikanda na vituo vyote vya Huduma kote nchini.",,"Ripot nyalo yudore e ofis maduong' mar EACC (Integrity Center), e ofisewa mag alwora, koda e kuonde duto ma Huduma yudoree e piny mangima.","Warbixinnada waxaa laga sameyn karaa xarunta EACC (Center Integrity), xafiisyadeena gobolka iyo dhammaan Xarumaha Huduma ee dalka oo dhan.",EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
10,Governance,Public Service Delivery,"Since 2003, EACC has secured convictions in Court, enhanced financial investigations and recovered assets acquired from corruption as a deterrence strategy. This has been achieved through proactive disruptions, robust prosecution of recovery cases and enhanced use of Alternative Dispute Resolution (ADR)","Tangu 2003, EACC imepata hukumu mahakamani, imeongeza uchunguzi wa kifedha na ilipata mali zilizopatikana kutokana na ufisadi kama mkakati wa kuzuia. Hii imefanikiwa kupitia usumbufu wa kimkakati, utekelezaji wa kesi za upatikanaji wa haki na matumizi bora ya Suluhisho la Mabishano ya Mabadiliko (ADR)",,"Chakre higa mar 2003, EACC osemiyo kot ong'ado bura, osemiyo otim nonro e weche mag pesa kendo oseyudo mwandu ma ne oyudo kuom mibadhi kaka yo mar geng'o mibadhi.","Tan iyo 2003, EACC waxay maxkamadda ka heshay xukun, xoojisay baaritaano maaliyadeed iyo soo kabatay hanti laga helay musuqmaasuqa iyada oo loo marayo istaraatijiyad joojin ah. Tan waxaa lagu gaadhay iyada oo loo marayo faragelin ku saabsan, dacwad adag oo lagu soo oogay kiisaska soo kabashada iyo adeegga sare ee xalinta khilaafaadka ee kale (ADR)",EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
