PSA_Id,Domain,Class,English,Source,Date
1,Security & Safety,PSA,National Police Service Commission Functions & Mandate,National Police Service Commission (NPSC),12/14/2021
2,Security & Safety,PSA,Statement on Police Salaries and Promotion - National Police Service Commission,National Police Service Commission (NPSC),9/5/2024
3,Security & Safety,PSA,"The NPSC began operations on October 5, 2012, following the appointment of six Commissioners through Gazette Notice No.",National Police Service Commission (NPSC),9/25/2025
4,Security & Safety,PSA,"Peter Leley, EBS - National Police Service Commission",National Police Service Commission (NPSC),10/3/2025
5,Security & Safety,PSA,"Dr. Amani Yuda Komora, PhD, MBS, CHRP(K), FIHRM - National Police Service Commission",National Police Service Commission (NPSC),10/13/2025
6,Security & Safety,PSA,Refugee-Led Research Hub (RLRH) - Refugee-Led Organisations in East Africa: Community Perceptions in Kenya - November 2022 - Kenya,ReliefWeb Kenya,11/30/2022
7,Security & Safety,PSA,"Navigating the City - The Internal Migration of Refugees from Kakuma and Dadaab Refugee Camps to Nairobi, Working paper 3 - December 2024 - Kenya",ReliefWeb Kenya,12/9/2024
8,Security & Safety,PSA,JRS - Economic Inclusion of Refugees and Host Communities in Kenya: A market analysis - Kenya,ReliefWeb Kenya,2/21/2025
9,Security & Safety,PSA,"Educational challenges in refugee camps in Turkana County, Kenya: a brief literature review - Kenya Kenya: Salesian Missions provides funding for new bathrooms at Don Bosco - Kenya The toilets are modern and have sensors for flushing to avoid wasting water.",ReliefWeb Kenya,3/24/2025
10,Security & Safety,PSA,Kenya Annual Country Report 2024 - Country Strategic Plan 2023 - 2027 - Kenya Climate Change Impacts on Food Security and Nutrition in Kenya's Arid and Semi-Arid Lands: A Brief Literature Review - Kenya It concludes with strategic recommendations to strengthen climate resilience and ensure food and nutrition security across Kenya’s most climate-vulnerable regions. KEN: Epidemic - 02-2025 - Cholera Outbreak field report #3 (2025-03-27) - Kenya,ReliefWeb Kenya,3/27/2025
11,Security & Safety,PSA,"UNHCR’s Grandi hails launch of Kenya’s landmark refugee inclusion plan - Kenya Kenya - Food insecurity and malnutrition (DG ECHO, IPC) (ECHO Daily Flash of 28 March 2025) - Kenya",ReliefWeb Kenya,3/28/2025
12,Security & Safety,PSA,"WFP Kenya Country Brief, March 2025 - Kenya WFP’s Differentiated Assistance Approach aligns with the Shirika Plan to ensure refugee programming is sustainable and inclusive. The Urban Pull on Rural Food Production Systems in East Africa: A Brief Literature Review - Kenya",ReliefWeb Kenya,3/31/2025
13,Security & Safety,PSA,School Health & Nutrition Facility Progress Report 2024 (August-December) - Kenya - A Coordination Cell has been created for the inception phase of the SMIA initiative to ensure a more cohesive and supportive approach across the partners and countries involved.,ReliefWeb Kenya,4/1/2025
14,Security & Safety,PSA,Gender Strategy on Weather and Climate Information Services in East Africa - Kenya The project focuses on the co-design and co-production of inclusive WCIS and impact-based early warning systems (IBEWS) to improve accessibility and utilization among marginalized groups.,ReliefWeb Kenya,4/2/2025
15,Security & Safety,PSA,"EHAGL Region: Community Feedback Analysis Report, July - September 2024 - Kenya",ReliefWeb Kenya,4/7/2025
16,Security & Safety,PSA,"Ministry of Health Press Statement (Date of Release: 8th April, 2025) - Kenya Historic Danish public-private partnership with WFP expands home-grown school meals in East Africa - Kenya Around these schools, the partnership will build an ecosystem of support that ensures the long-term sustainability of the initiative. It drives actions to urgently improve and scale up school meal programmes to ensure that every child can receive a healthy, nutritious meal in school by 2030.",ReliefWeb Kenya,4/8/2025
17,Security & Safety,PSA,"Climate-Smart Agriculture and Urban/Peri-Urban Agriculture in the Great Lakes Region: A Brief Literature Review - Kenya Kenya - Cholera outbreak (DG ECHO, Ministry of Health of Kenya, WHO) (ECHO Daily Flash of 09 April 2025) - Kenya",ReliefWeb Kenya,4/9/2025
18,Security & Safety,PSA,"Kenya | Joint Market Monitoring Initiative (JMMI) Market Overview, Q4 (October - December, 2024) - Kenya Kenyan Court Delays Justice for Survivors of Post-Election Sexual Violence - Kenya Each election cycle brings fresh reminders of the trauma we suffered; the court must act before the 2027 election. Instead of offering relief or protection, the justice system, which should have been a source of support, has become another burden to bear. We urge the judiciary to prioritize this important matter.” “We urge the Judiciary of Kenya to be sensitive to the plight of survivors, where a single day’s delay is one too many,” said Grace Wangechi of Independent Medico-Legal Unit (IMLU). Justice must not only be done. And it must be felt, urgently, fully, and without compromise,” said Tina Alai, Utu Wetu Trust.",ReliefWeb Kenya,4/11/2025
19,Security & Safety,PSA,"Adaptation in Adversity - The Impact of Drought on the Livelihood Adaptive Strategies of Refugee Youth with Physical Disabilities in Kakuma Refugee Camp, Working paper 4 - December 2024 - Kenya",ReliefWeb Kenya,4/12/2025
20,Security & Safety,PSA,"Bridging policy and practice: Key insights from the Water, Peace and Climate Conference in Kenya - Kenya Several messages particularly stood out to me: - There’s an urgent need for collective action on climate security, and local communities must be at the centre of shaping solutions Dr. Monica Juma, Advisor on National Security in Kenya, described climate security as ""one of the largest public good portfolios."" Her emphasis on community-centered approaches mirrors what we've witnessed in our WPS work – solutions developed with and by local communities last longer and work better. This is why water, peace and climate security must be part of national security policies, disaster response planning, and regional cooperation agreements. But to break the silos, we must continue to enhance awareness and education at the highest levels of decision-making. - Knowledge must translate to action During our panel, I emphasized that sharing knowledge on the water, peace and security agenda must result in practical solutions that bridge the gap between policy discussions and community realities and needs. Daisy Kosgei is a Senior Project Officer at International Alert Kenya and the Horn of Africa that implements the Water, Peace and Security partnership work in Kenya.",ReliefWeb Kenya,4/14/2025
