term,frequency,domains
Kenya,812,"Agriculture, Education, Governance, Health, Security & Safety"
TVET,724,Education
Kenya Red Cross,580,"Health, Security & Safety"
Citizen,415,"Education, Governance"
HELB,414,Education
IEBC,395,"Education, Governance, Security & Safety"
KEMSA,379,Health
KUCCPS,351,Education
NDMA,338,Security & Safety
KICD,337,Education
NTSA,335,"Education, Governance, Security & Safety"
KEMRI,323,Health
KNEC,320,Education
July,318,"Agriculture, Education, Governance, Health, Security & Safety"
Taita,315,"Agriculture, Education, Governance, Health, Security & Safety"
EACC,309,"Education, Governance, Security & Safety"
Elgeyo,305,"Agriculture, Education, Governance, Health, Security & Safety"
December,293,"Agriculture, Education, Governance, Health, Security & Safety"
Tharaka,293,"Agriculture, Education, Governance, Health, Security & Safety"
KALRO,290,Agriculture
August,287,"Agriculture, Education, Governance, Health, Security & Safety"
June,278,"Agriculture, Education, Governance, Health, Security & Safety"
March,274,"Agriculture, Education, Governance, Health, Security & Safety"
January,271,"Agriculture, Education, Governance, Health, Security & Safety"
April,270,"Agriculture, Education, Governance, Health, Security & Safety"
KEPHIS,269,"Agriculture, Security & Safety"
October,258,"Agriculture, Education, Governance, Health, Security & Safety"
COMESA,248,Agriculture
NCPB,239,Agriculture
KTDA,239,Agriculture
Kenya Medical Association,234,Health
ODPP,225,"Governance, Security & Safety"
Ombudsman,216,Governance
Huduma Kenya,212,Governance
November,206,"Agriculture, Education, Governance, Health, Security & Safety"
Curriculum Development,200,Education
September,196,"Agriculture, Education, Governance, Health, Security & Safety"
Kenya Institute,194,Education
February,183,"Agriculture, Education, Governance, Health, Security & Safety"
Universities Fund,173,Education
State Department,130,Education
Kenya Forest Service,123,Security & Safety
Kenya Gazette,104,Governance
Auditor,98,Governance
Kenya Plant Health Inspectorate Service,97,Agriculture
General,95,Governance
Nyumba Kumi,94,Security & Safety
Agriculture,81,"Agriculture, Education"
Tana River County,81,"Agriculture, Education, Governance, Health, Security & Safety"
Newcastle,81,Agriculture
Nandi County,80,"Agriculture, Education, Governance, Health, Security & Safety"
Registrar,80,Governance
Communications Authority,75,Security & Safety
Pesa PIN,73,Security & Safety
KCSE,71,"Education, Health"
Huduma Centre,68,"Governance, Health"
Nairobi,67,"Agriculture, Education, Governance, Health, Security & Safety"
Ministry,66,"Agriculture, Education, Health"
AIDS,62,Health
Food Authority,61,Agriculture
Rift Valley Fever,61,Health
Social Health Authority,59,"Education, Health"
Lamu County,57,"Agriculture, Education, Governance, Health, Security & Safety"
NHIF,55,"Education, Governance, Health, Security & Safety"
Meru County,54,"Agriculture, Education, Health, Security & Safety"
Garissa County,54,"Agriculture, Education, Governance, Health, Security & Safety"
Homa Bay County,48,"Agriculture, Education, Governance, Health, Security & Safety"
Mandera County,48,"Agriculture, Education, Health, Security & Safety"
Wajir County,47,"Agriculture, Education, Governance, Health, Security & Safety"
Kwale County,47,"Agriculture, Education, Governance, Health, Security & Safety"
Nairobi County,46,"Agriculture, Education, Governance, Health, Security & Safety"
Basic Education,46,Education
Mombasa County,44,"Agriculture, Education, Governance, Health, Security & Safety"
Kenya Dairy Board,41,Agriculture
Kilifi County,41,"Agriculture, Education, Governance, Security & Safety"
Nyeri County,40,"Agriculture, Education, Governance, Security & Safety"
Narok County,38,"Agriculture, Education, Governance, Security & Safety"
West Pokot County,38,"Agriculture, Education, Security & Safety"
Samburu County,37,"Agriculture, Education, Governance, Health, Security & Safety"
Makueni County,34,"Agriculture, Education, Governance, Health, Security & Safety"
Laikipia County,33,"Agriculture, Education, Governance, Health, Security & Safety"
Kajiado County,33,"Agriculture, Education, Security & Safety"
STEM,33,Education
Siaya County,32,"Agriculture, Education, Governance, Health, Security & Safety"
Directorate,32,Security & Safety
Kisumu County,31,"Agriculture, Education, Governance, Health, Security & Safety"
IFAD,30,Agriculture
Mombasa,30,"Agriculture, Education, Governance, Health, Security & Safety"
Machakos County,30,"Agriculture, Education, Health, Security & Safety"
Baringo County,30,"Agriculture, Education, Governance, Health, Security & Safety"
Kericho County,30,"Agriculture, Education, Governance, Health, Security & Safety"
Busia County,29,"Agriculture, Education, Security & Safety"
Bungoma County,27,"Agriculture, Education, Governance, Health, Security & Safety"
Bomet County,26,"Agriculture, Education, Health, Security & Safety"
Embu County,26,"Agriculture, Education, Governance, Security & Safety"
Isiolo County,25,"Agriculture, Education, Health, Security & Safety"
Health,25,Health
Murang'a County,24,"Agriculture, Education, Health, Security & Safety"
Nakuru,23,"Agriculture, Education, Governance, Health, Security & Safety"
Marsabit County,23,"Agriculture, Education, Governance, Health, Security & Safety"
Kiambu County,22,"Agriculture, Education, Health, Security & Safety"
Kirinyaga County,21,"Agriculture, Education, Health, Security & Safety"
Covid,21,"Agriculture, Health"
Division,21,Health
Kitui County,21,"Agriculture, Education, Health, Security & Safety"
Marakwet County,21,"Agriculture, Education, Security & Safety"
Nakuru County,20,"Agriculture, Education, Governance, Security & Safety"
TVETA,20,Education
COVID,19,"Agriculture, Education, Health"
Vihiga County,19,"Agriculture, Education, Governance, Health, Security & Safety"
Turkana County,19,"Agriculture, Education, Health, Security & Safety"
Nithi County,19,"Agriculture, Education, Governance, Security & Safety"
Kisii County,18,"Agriculture, Education, Governance, Health, Security & Safety"
Trans Nzoia County,18,"Agriculture, Education, Governance, Health, Security & Safety"
Busia,17,"Agriculture, Governance, Health"
IPOA,17,"Education, Security & Safety"
KNCHR,17,"Education, Governance, Security & Safety"
Mpox,17,Health
Asia,17,Agriculture
Kshs,16,Agriculture
Nyandarua County,16,"Agriculture, Education, Governance, Health"
KPSEA,16,Education
USDA,16,Agriculture
Uganda,15,"Agriculture, Education"
Pest Control Products Board,15,Agriculture
Kakamega County,15,"Agriculture, Education, Health, Security & Safety"
Tanzania,14,"Agriculture, Education, Governance, Health"
NCTC,14,"Education, Security & Safety"
AATF,14,Agriculture
Kakamega,13,"Agriculture, Education, Health, Security & Safety"
Migori County,13,"Agriculture, Education, Health, Security & Safety"
Administrative Justice,13,Governance
ECDE,13,Education
KUPPET,13,Education
KMTC,13,Education
Grade,12,"Agriculture, Education"
Criminal Investigations,12,Security & Safety
Kisumu,12,"Education, Governance, Health, Security & Safety"
NGOs,12,"Education, Security & Safety"
Uasin Gishu County,11,"Agriculture, Education, Health"
NGEC,11,Education
Garissa,10,"Agriculture, Health, Security & Safety"
Education,10,Education
KJSEA,10,Education
Training,10,Education
Thika,10,"Education, Governance"
Pacific,10,Agriculture
Lamu,10,"Governance, Security & Safety"
Kiambu,9,"Agriculture, Education, Governance, Health, Security & Safety"
Reproductive Health Unit,9,Health
Technical,9,Education
Vocational Education,9,Education
Junior Secondary School,9,Education
Teachers,9,Education
Bungoma,9,"Agriculture, Education, Health, Security & Safety"
Nyandarua,8,"Agriculture, Education, Governance, Security & Safety"
Somalia,8,"Agriculture, Health, Security & Safety"
Nyamira County,8,"Agriculture, Education, Governance, Security & Safety"
Migori,8,"Education, Health"
Africa,8,"Agriculture, Education, Health, Security & Safety"
NCIC,8,Education
KCPE,8,"Education, Health"
Nyeri,7,"Agriculture, Education, Governance, Health, Security & Safety"
Taita Taveta,7,"Agriculture, Education, Health"
Taveta County,7,"Agriculture, Education"
KNUT,7,Education
Competency,7,Education
Teachers Service Commission,7,Education
Mandera,7,"Education, Governance, Health"
WhatsApp,7,"Education, Governance, Security & Safety"
Kitui,7,"Agriculture, Education, Health"
KNAP,7,Health
County,6,"Agriculture, Education"
Machakos,6,"Agriculture, Governance, Health, Security & Safety"
CEMASTEA,6,Education
TikTok,6,"Education, Security & Safety"
Based Education,6,Education
Technology,6,Education
Ruto,6,"Education, Governance, Health"
CNAP,6,Health
Uasin Gishu,5,Agriculture
Livestock Development,5,Agriculture
Kajiado,5,"Agriculture, Health"
Elgeyo Marakwet,5,"Agriculture, Education, Health"
Rwanda,5,"Agriculture, Governance"
Council,5,"Education, Governance"
Kenyan,5,"Agriculture, Education, Security & Safety"
Kenya Medical Training College,5,Education
Kenyatta University,5,"Education, Health"
KSSSA,5,Education
UNICEF,5,"Education, Health"
USAID,5,Health
Asia Pacific,5,Agriculture
Shabaab,5,Security & Safety
North Rift,5,Security & Safety
Reuters,5,Security & Safety
Raila,5,Governance
Naivasha,4,"Agriculture, Security & Safety"
CGIAR,4,Agriculture
Embu,4,"Agriculture, Education, Governance"
